Encoder,Video Number,Resolution,Distortion Level,MOS,path
HEVC,1,540p,1,18.21,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/960x540_1.mp4
HEVC,1,540p,2,39.46,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/960x540_2.mp4
HEVC,1,540p,3,50.23,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/960x540_3.mp4
HEVC,1,540p,4,77.26,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/HEVC/01/960x540_4.mp4
H264,1,540p,1,18.41,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/960x540_1.mp4
H264,1,540p,2,44.31,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/960x540_2.mp4
H264,1,540p,3,65.09,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/960x540_3.mp4
H264,1,540p,4,78.76,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/H264/01/960x540_4.mp4
VP9,1,540p,1,41.97,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/960x540_1.mp4
VP9,1,540p,2,56.72,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/960x540_2.mp4
VP9,1,540p,3,64.0,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/960x540_3.mp4
VP9,1,540p,4,76.55,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/VP9/01/960x540_4.mp4
AVS2,1,540p,1,19.88,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/960x540_1.mp4
AVS2,1,540p,2,46.61,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/960x540_2.mp4
AVS2,1,540p,3,54.3,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/960x540_3.mp4
AVS2,1,540p,4,76.84,/mnt/bn/wenwenwinwin-vqa/Waterloo_IVC_4K/AVS2/01/960x540_4.mp4
